date,term,spot,forward_force
1982-02-28T00:00:00Z,33,NA,0.10696345335987623
1982-02-28T00:00:00Z,34,NA,0.10696345335987623
1982-02-28T00:00:00Z,35,NA,0.10696345335987623
1982-02-28T00:00:00Z,36,NA,0.10696345335987623
1982-02-28T00:00:00Z,37,NA,0.10696345335987623
1982-02-28T00:00:00Z,38,NA,0.10696345335987623
1982-02-28T00:00:00Z,39,NA,0.10696345335987623
1982-02-28T00:00:00Z,40,NA,0.10696345335987623
1982-03-31T00:00:00Z,1,0.12534381752900253,0.11808860454678996
1982-03-31T00:00:00Z,2,0.12609113281341866,0.11941631834415825
1982-03-31T00:00:00Z,3,0.12511862037263582,0.1161604883965745
1982-03-31T00:00:00Z,4,0.12489610570800397,0.11709731235264109
1982-03-31T00:00:00Z,5,0.1262946799609271,0.12390327933465839
1982-03-31T00:00:00Z,6,0.1288725594220498,0.13265039480879814
1982-03-31T00:00:00Z,7,0.1318038218542822,0.13937223981125657
1982-03-31T00:00:00Z,8,0.13448171610177734,0.1427186331794178
1982-03-31T00:00:00Z,9,0.1365678145830625,0.14271001905298397
1982-03-31T00:00:00Z,10,0.13792955845975333,0.13998705385311183
1982-03-31T00:00:00Z,11,0.13855808093742292,0.13528448222174894
1982-03-31T00:00:00Z,12,0.13851055475937374,0.12926170095272704
1982-03-31T00:00:00Z,13,0.13787167523838492,0.12242383029958925
1982-03-31T00:00:00Z,14,0.1367309210855702,0.11511706066024519
1982-03-31T00:00:00Z,15,0.13517145494052968,0.1075640993801017
1982-03-31T00:00:00Z,16,0.13326562625988259,0.09989887694938426
1982-03-31T00:00:00Z,17,0.13107309493905034,0.0921816077183144
1982-03-31T00:00:00Z,18,0.12864178991198494,0.0844331695236149
1982-03-31T00:00:00Z,19,NA,0.0844331695236149
1982-03-31T00:00:00Z,20,NA,0.0844331695236149
1982-03-31T00:00:00Z,21,NA,0.0844331695236149
1982-03-31T00:00:00Z,22,NA,0.0844331695236149
1982-03-31T00:00:00Z,23,NA,0.0844331695236149
1982-03-31T00:00:00Z,24,NA,0.0844331695236149
1982-03-31T00:00:00Z,25,NA,0.0844331695236149
1982-03-31T00:00:00Z,26,NA,0.0844331695236149
1982-03-31T00:00:00Z,27,NA,0.0844331695236149
1982-03-31T00:00:00Z,28,NA,0.0844331695236149
1982-03-31T00:00:00Z,29,NA,0.0844331695236149
1982-03-31T00:00:00Z,30,NA,0.0844331695236149
1982-03-31T00:00:00Z,31,NA,0.0844331695236149
1982-03-31T00:00:00Z,32,NA,0.0844331695236149
1982-03-31T00:00:00Z,33,NA,0.0844331695236149
1982-03-31T00:00:00Z,34,NA,0.0844331695236149
1982-03-31T00:00:00Z,35,NA,0.0844331695236149
1982-03-31T00:00:00Z,36,NA,0.0844331695236149
1982-03-31T00:00:00Z,37,NA,0.0844331695236149
1982-03-31T00:00:00Z,38,NA,0.0844331695236149
1982-03-31T00:00:00Z,39,NA,0.0844331695236149
1982-03-31T00:00:00Z,40,NA,0.0844331695236149
1982-04-30T00:00:00Z,1,0.12807631324811397,0.12051380437621985
1982-04-30T00:00:00Z,2,0.1279705247826173,0.12032624006897068
1982-04-30T00:00:00Z,3,0.12785057423480825,0.12010097950779558
1982-04-30T00:00:00Z,4,0.12846509063586803,0.122492506011595
