"","country","Sex","Year","Age","mu","delta","fx","spx","vs","sEx","ax","hp","hc","dp","dc","Hp","Hc","Dp","Dc","rho","phi","xt"
"3032","England and Wales","Males",1998,96,0.392042891460264,0.0525674986454914,0.00660830843880563,0.0201602395681036,0.177689589164473,0.00358226468631368,2.55721525516756,0.00941032739158601,0.305876935330775,0.00115131806991071,0.305876935330775,0.00367991211243161,0.119613292120273,0.000450223369966275,0.119613292120273,0.00443697733512001,0.115584231908065,2
"3033","England and Wales","Males",1998,97,0.421088272915166,0.0525782308013408,0.0047140447853479,0.0135519311292979,0.168589249828727,0.00228470990281891,2.44160416632896,0.00581897069281099,0.191244465368737,0.000669767090386143,0.191244465368737,0.00238325719338856,0.0783273832859975,0.000274314362509121,0.0783273832859975,0.00290725240288242,0.115554653787338,2
"3034","England and Wales","Males",1998,98,0.450391392838541,0.052585692931213,0.00324887522200226,0.00883788634395003,0.159953527556629,0.00141365109685937,2.32988700116606,0.00346998988635818,0.115849038575713,0.000376466937108123,0.115849038575713,0.00148933827461226,0.0497230288497824,0.000161581629031669,0.0497230288497824,0.00168276816442119,0.11552819741652,2
"3035","England and Wales","Males",1998,99,0.480949990154949,0.052590230355541,0.0021669399663383,0.00558901112194777,0.151759246210415,0.000848184114928417,2.21649543396139,0.00198655948474595,0.0677849012824944,0.000203268210790608,0.0677849012824944,0.000896261483018494,0.030582017108579,9.17070288871838e-05,0.030582017108579,0.00111183119042361,0.115507924514476,2
"3036","England and Wales","Males",1998,100,0.514065181994718,0.0525925558685213,0.00139946063770033,0.00342207115560947,0.143984256756268,0.000492724371907492,2.09409593232527,0.00108237532225685,0.0380984572599998,0.000104398776623837,0.0380984572599998,0.00051686997980794,0.0181932721762635,4.98538653422212e-05,0.0181932721762635,0.00154274805193511,0.115494003855808,2
"3037","England and Wales","Males",1998,101,0.551391244760221,0.0525934267172851,0.000874228704378774,0.00202261051790915,0.136607380299612,0.00027630352421801,1.95107077474754,0.000551956645759737,0.0203603798713301,5.01331409526233e-05,0.0203603798713301,0.000282899345786755,0.0104354901599941,2.5695193429931e-05,0.0104354901599941,0.00332374790268991,0.115485171145373,2
"3038","England and Wales","Males",1998,102,0.594023563374337,0.052593475081537,0.000525951935533095,0.00114838181353037,0.129608390498779,0.000148839918529741,1.76554925210463,0.000254708390694768,0.0101371494752637,2.17806698748524e-05,0.0101371494752637,0.000144265808722777,0.00574164071785576,1.23364838725901e-05,0.00574164071785576,0.00670032786315512,0.115479714661222,2
"3039","England and Wales","Males",1998,103,0.640089444996744,0.052593144521165,0.000301816134231133,0.000622429877997276,0.122968006714235,7.65389614167094e-05,1.48870962193226,9.86083797470944e-05,0.0044812325711336,7.95993524040736e-06,0.0044812325711336,6.62374839890576e-05,0.00301014550125444,5.34686894149028e-06,0.00301014550125444,0.011612730790206,0.115476062754422,2
"3040","England and Wales","Males",1998,104,0.686368643440949,0.0525926914948538,0.000320613743766143,0.000320613743766143,0.116667883471433,3.74053268970482e-05,1,2.56738434797922e-05,0.00149621307588193,1.96724681776061e-06,0.00149621307588193,2.56738434797922e-05,0.00149621307588193,1.96724681776061e-06,0.00149621307588193,0.0179447627263215,0.115473083231994,2
"3041","England and Wales","Males",1999,65,0.0185172870511214,0.0554157603968454,0.0183474148771582,1,1,1,10.2567996582036,3.51328853088688,83.940371643554,4.51787158103751,83.940371643554,0.3425326269366,8.18387552070563,0.44047575575136,8.18387552070563,0.0381293996998936,0.0497167788087478,1
"3042","England and Wales","Males",1999,66,0.0206320575011741,0.0554819057737534,0.0200467101442282,0.981652585122842,0.946060429425332,0.928702666227803,9.96745244180547,3.32336042739008,82.940371643554,3.94948322874005,82.940371643554,0.333421247484588,8.32112037933441,0.396237980747732,8.32112037933441,0.0405511640089326,0.057007357229276,1
