"","country","Sex","Year","ax","rhobar","phibar","H","D","Dc","mort","int","adot"
"200","England and Wales","Females",2041,19.4162379993446,0.011692172742858,-0.0243617595685428,0.307544309365409,0.232168646734856,13.0744810291176,0.00359586119118333,-0.0056560367511085,-0.00206017555992517
"201","England and Wales","Females",2042,19.377658980276,0.0114715677130185,-0.0233502382514221,0.305352161283021,0.237784660293106,13.0816897219341,0.00350286799447473,-0.0055523284703775,-0.00204946047590278
"202","England and Wales","Females",2043,19.3395696132815,0.011280173600477,-0.0224026455225685,0.303165797213219,0.243295546845523,13.0883477134869,0.00341976282229211,-0.0054504638931997,-0.0020307010709076
"203","England and Wales","Females",2044,19.3020325663086,0.0111061865851985,-0.0215132545615438,0.300985518437749,0.248703559392499,13.0945198224411,0.00334280132721233,-0.00535042298357286,-0.00200762165636053
"204","England and Wales","Females",2045,19.2651615457727,0.0109617461545155,-0.0206770022765689,0.298817831746456,0.254012620485826,13.1003519502374,0.00327556521804738,-0.00525221953206266,-0.00197665431401528
"205","England and Wales","Females",2046,19.2290185035955,0.0108371109319622,-0.0198893958368418,0.296664640796494,0.259225674764104,13.10592949689,0.00321498762190232,-0.00515584205645567,-0.00194085443455335
"206","England and Wales","Females",2047,19.1936542356425,0.0107239046939797,-0.0191464345680818,0.294526244411286,0.264345295453666,13.1113137038845,0.00315847137494239,-0.00506126990278386,-0.00190279852784146
"207","England and Wales","Females",2048,19.1590347411816,0.0106079399946175,-0.0184445443435731,0.292401132381494,0.26937221145525,13.1164724298765,0.0031017736666611,-0.00496844769911272,-0.00186667403245161
"208","England and Wales","Females",2049,19.1252380564906,0.01051726689758,-0.0177805221988904,0.290292890065625,0.274310130203971,13.1215192717869,0.00305308780329003,-0.00487737735947222,-0.00182428955618219
"209","England and Wales","Females",2050,19.092271199086,0.0104365197148053,-0.0171514893586069,0.288202046097087,0.279161095769144,13.1264827905217,0.00300782633593949,-0.00478802856342149,-0.001780202227482
"210","England and Wales","Females",2051,19.0601434936993,0.0103578244681593,-0.0165548512211566,0.286126579813754,0.283926850913651,13.1313768246095,0.00296364888938564,-0.00470036677456701,-0.00173671788518137
"211","England and Wales","Females",2052,19.028864172193,0.0102819952546476,-0.01598826312827,0.284069522628426,0.288609504896834,13.1362321213803,0.00292080148365548,-0.00461436470561032,-0.00169356322195484
"212","England and Wales","Females",2053,18.9984141769544,0.0102083649754026,-0.015449600966311,0.282033005735843,0.293210502897707,13.1410488746713,0.00287909585766129,-0.00452998526890095,-0.00165088941123966
"213","England and Wales","Females",2054,18.9688570863394,0.0101582000324892,-0.0149369358220354,0.280021032189665,0.297733631842216,13.1459317745059,0.00284450965828671,-0.00444722815088871,-0.00160271849260201
"214","England and Wales","Females",2055,18.9401306361805,0.0101044705927617,-0.0144485120550612,0.278018634318905,0.302178194357262,13.1507854246098,0.00280923111471514,-0.00436602528394753,-0.00155679416923238
"215","England and Wales","Females",2056,18.912325667595,0.0100622775962749,-0.0139827282614524,0.276042578690275,0.306549376342968,13.1557734190789,0.00277761705517311,-0.00428639662812144,-0.00150877957294833
"216","England and Wales","Females",2057,18.885413772967,0.0100202655466761,-0.0135381206932514,0.274090547367701,0.310848208647715,13.1608756578107,0.00274646006845817,-0.00420830056595378,-0.00146184049749561
"217","England and Wales","Females",2058,18.8593731199793,0.00998454608446815,-0.0131133487720603,0.272157014850303,0.315075738994946,13.166075025968,0.00271736425698413,-0.00413169805505537,-0.00141433379807123
"218","England and Wales","Females",2059,18.8342173994944,0.00995933656729603,-0.0127071823944837,0.270242079777838,0.31923434889368,13.17141146854,0.00269143182715355,-0.00405656909797624,-0.00136513727082268
"219","England and Wales","Females",2060,18.8099492064178,0.00993317130755769,-0.0123184907760637,0.268348561743348,0.323326147838921,13.1769129923563,0.0026655522339334,-0.00398289016981396,-0.00131733793588056
"220","England and Wales","Females",2061,18.7865185571921,0.00991161327233269,-0.0119462326204777,0.266464530774646,0.327350942819797,13.1825146740075,0.00264109337983189,-0.00391061051145798,-0.0012695171316261
